"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Yo como analista de facturación
  Quiero realizar cruces de facturas validando reglas de negocio
  Para mantener los saldos actualizados y auditados","21299","Validar bloqueo al intentar cruzar montos invalidos","","Thu Feb 12 13:30:24 UTC 2026","passed","Thu Feb 12 13:30:45 UTC 2026","","Gestión Integral de Conciliación de Facturas","Validar bloqueo al intentar cruzar montos invalidos",""
"  Yo como analista de facturación
  Quiero realizar cruces de facturas validando reglas de negocio
  Para mantener los saldos actualizados y auditados","27006","Filtrar facturas por cliente especifico","","Thu Feb 12 13:30:24 UTC 2026","passed","Thu Feb 12 13:30:51 UTC 2026","","Gestión Integral de Conciliación de Facturas","Filtrar facturas por cliente especifico",""
"  Yo como analista de facturación
  Quiero realizar cruces de facturas validando reglas de negocio
  Para mantener los saldos actualizados y auditados","26712","Realizar cruce de factura con asignacion de monto parcial","","Thu Feb 12 13:30:24 UTC 2026","passed","Thu Feb 12 13:30:51 UTC 2026","","Gestión Integral de Conciliación de Facturas","Realizar cruce de factura con asignacion de monto parcial",""
