"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Yo como analista de facturación
  Quiero realizar cruces de facturas validando reglas de negocio
  Para mantener los saldos actualizados y auditados","32250","Realizar cruce de factura con asignacion de monto parcial","","Thu Feb 12 20:34:53 UTC 2026","passed","Thu Feb 12 20:35:25 UTC 2026","","Gestión Integral de Conciliación de Facturas","Realizar cruce de factura con asignacion de monto parcial",""
"  Yo como analista de facturación
  Quiero realizar cruces de facturas validando reglas de negocio
  Para mantener los saldos actualizados y auditados","32453","Filtrar facturas por cliente especifico","","Thu Feb 12 20:34:53 UTC 2026","passed","Thu Feb 12 20:35:25 UTC 2026","","Gestión Integral de Conciliación de Facturas","Filtrar facturas por cliente especifico",""
"  Yo como analista de facturación
  Quiero realizar cruces de facturas validando reglas de negocio
  Para mantener los saldos actualizados y auditados","29187","Validar bloqueo al intentar cruzar montos invalidos","","Thu Feb 12 20:34:53 UTC 2026","passed","Thu Feb 12 20:35:22 UTC 2026","","Gestión Integral de Conciliación de Facturas","Validar bloqueo al intentar cruzar montos invalidos",""
